Unnamed: 0,Cups                                     ,Fecha de la lectura,Hora de la lectura,Consumo (kwh),Hora inicio,Minutos inicio,Dia de la semana,Mes,Año,Periodo
53,ES0022000005731860JV1P,2018-01-01,13:30,23,13,15,Monday,1,2018,P1
54,ES0022000005731860JV1P,2018-01-01,13:45,24,13,30,Monday,1,2018,P1
55,ES0022000005731860JV1P,2018-01-01,14:00,23,13,45,Monday,1,2018,P1
56,ES0022000005731860JV1P,2018-01-01,14:15,23,14,0,Monday,1,2018,P2
57,ES0022000005731860JV1P,2018-01-01,14:30,24,14,15,Monday,1,2018,P2
58,ES0022000005731860JV1P,2018-01-01,14:45,23,14,30,Monday,1,2018,P2
59,ES0022000005731860JV1P,2018-01-01,15:00,25,14,45,Monday,1,2018,P2
60,ES0022000005731860JV1P,2018-01-01,15:15,25,15,0,Monday,1,2018,P2
61,ES0022000005731860JV1P,2018-01-01,15:30,22,15,15,Monday,1,2018,P2
62,ES0022000005731860JV1P,2018-01-01,15:45,23,15,30,Monday,1,2018,P2
63,ES0022000005731860JV1P,2018-01-01,16:00,22,15,45,Monday,1,2018,P2
64,ES0022000005731860JV1P,2018-01-01,16:15,21,16,0,Monday,1,2018,P2
65,ES0022000005731860JV1P,2018-01-01,16:30,21,16,15,Monday,1,2018,P2
66,ES0022000005731860JV1P,2018-01-01,16:45,22,16,30,Monday,1,2018,P2
67,ES0022000005731860JV1P,2018-01-01,17:00,21,16,45,Monday,1,2018,P2
68,ES0022000005731860JV1P,2018-01-01,17:15,21,17,0,Monday,1,2018,P2
69,ES0022000005731860JV1P,2018-01-01,17:30,22,17,15,Monday,1,2018,P2
70,ES0022000005731860JV1P,2018-01-01,17:45,21,17,30,Monday,1,2018,P2
71,ES0022000005731860JV1P,2018-01-01,18:00,21,17,45,Monday,1,2018,P2
72,ES0022000005731860JV1P,2018-01-01,18:15,23,18,0,Monday,1,2018,P1
73,ES0022000005731860JV1P,2018-01-01,18:30,22,18,15,Monday,1,2018,P1
74,ES0022000005731860JV1P,2018-01-01,18:45,23,18,30,Monday,1,2018,P1
75,ES0022000005731860JV1P,2018-01-01,19:00,24,18,45,Monday,1,2018,P1
76,ES0022000005731860JV1P,2018-01-01,19:15,22,19,0,Monday,1,2018,P1
77,ES0022000005731860JV1P,2018-01-01,19:30,25,19,15,Monday,1,2018,P1
78,ES0022000005731860JV1P,2018-01-01,19:45,23,19,30,Monday,1,2018,P1
79,ES0022000005731860JV1P,2018-01-01,20:00,22,19,45,Monday,1,2018,P1
80,ES0022000005731860JV1P,2018-01-01,20:15,8,20,0,Monday,1,2018,P1
81,ES0022000005731860JV1P,2018-01-01,20:30,9,20,15,Monday,1,2018,P1
82,ES0022000005731860JV1P,2018-01-01,20:45,8,20,30,Monday,1,2018,P1
83,ES0022000005731860JV1P,2018-01-01,21:00,9,20,45,Monday,1,2018,P1
84,ES0022000005731860JV1P,2018-01-01,21:15,8,21,0,Monday,1,2018,P1
85,ES0022000005731860JV1P,2018-01-01,21:30,8,21,15,Monday,1,2018,P1
86,ES0022000005731860JV1P,2018-01-01,21:45,9,21,30,Monday,1,2018,P1
87,ES0022000005731860JV1P,2018-01-01,22:00,8,21,45,Monday,1,2018,P1
88,ES0022000005731860JV1P,2018-01-01,22:15,8,22,0,Monday,1,2018,P2
89,ES0022000005731860JV1P,2018-01-01,22:30,8,22,15,Monday,1,2018,P2
90,ES0022000005731860JV1P,2018-01-01,22:45,8,22,30,Monday,1,2018,P2
91,ES0022000005731860JV1P,2018-01-01,23:00,8,22,45,Monday,1,2018,P2
92,ES0022000005731860JV1P,2018-01-01,23:15,8,23,0,Monday,1,2018,P2
93,ES0022000005731860JV1P,2018-01-01,23:30,7,23,15,Monday,1,2018,P2
94,ES0022000005731860JV1P,2018-01-01,23:45,7,23,30,Monday,1,2018,P2
95,ES0022000005731860JV1P,2018-01-01,0:00,7,23,45,Monday,1,2018,P2
96,ES0022000005731860JV1P,2018-01-02,0:15,7,0,0,Tuesday,1,2018,P6
97,ES0022000005731860JV1P,2018-01-02,0:30,7,0,15,Tuesday,1,2018,P6
98,ES0022000005731860JV1P,2018-01-02,0:45,7,0,30,Tuesday,1,2018,P6
99,ES0022000005731860JV1P,2018-01-02,1:00,7,0,45,Tuesday,1,2018,P6
100,ES0022000005731860JV1P,2018-01-02,1:15,7,1,0,Tuesday,1,2018,P6
101,ES0022000005731860JV1P,2018-01-02,1:30,7,1,15,Tuesday,1,2018,P6
102,ES0022000005731860JV1P,2018-01-02,1:45,7,1,30,Tuesday,1,2018,P6
103,ES0022000005731860JV1P,2018-01-02,2:00,8,1,45,Tuesday,1,2018,P6
104,ES0022000005731860JV1P,2018-01-02,2:15,6,2,0,Tuesday,1,2018,P6
105,ES0022000005731860JV1P,2018-01-02,2:30,7,2,15,Tuesday,1,2018,P6
106,ES0022000005731860JV1P,2018-01-02,2:45,7,2,30,Tuesday,1,2018,P6
107,ES0022000005731860JV1P,2018-01-02,3:00,7,2,45,Tuesday,1,2018,P6
108,ES0022000005731860JV1P,2018-01-02,3:15,7,3,0,Tuesday,1,2018,P6
109,ES0022000005731860JV1P,2018-01-02,3:30,7,3,15,Tuesday,1,2018,P6
110,ES0022000005731860JV1P,2018-01-02,3:45,7,3,30,Tuesday,1,2018,P6
111,ES0022000005731860JV1P,2018-01-02,4:00,7,3,45,Tuesday,1,2018,P6
112,ES0022000005731860JV1P,2018-01-02,4:15,7,4,0,Tuesday,1,2018,P6
113,ES0022000005731860JV1P,2018-01-02,4:30,7,4,15,Tuesday,1,2018,P6
114,ES0022000005731860JV1P,2018-01-02,4:45,7,4,30,Tuesday,1,2018,P6
115,ES0022000005731860JV1P,2018-01-02,5:00,7,4,45,Tuesday,1,2018,P6
116,ES0022000005731860JV1P,2018-01-02,5:15,8,5,0,Tuesday,1,2018,P6
117,ES0022000005731860JV1P,2018-01-02,5:30,7,5,15,Tuesday,1,2018,P6
118,ES0022000005731860JV1P,2018-01-02,5:45,8,5,30,Tuesday,1,2018,P6
119,ES0022000005731860JV1P,2018-01-02,6:00,8,5,45,Tuesday,1,2018,P6
120,ES0022000005731860JV1P,2018-01-02,6:15,11,6,0,Tuesday,1,2018,P6
121,ES0022000005731860JV1P,2018-01-02,6:30,20,6,15,Tuesday,1,2018,P6
122,ES0022000005731860JV1P,2018-01-02,6:45,29,6,30,Tuesday,1,2018,P6
123,ES0022000005731860JV1P,2018-01-02,7:00,32,6,45,Tuesday,1,2018,P6
124,ES0022000005731860JV1P,2018-01-02,7:15,32,7,0,Tuesday,1,2018,P6
125,ES0022000005731860JV1P,2018-01-02,7:30,31,7,15,Tuesday,1,2018,P6
126,ES0022000005731860JV1P,2018-01-02,7:45,48,7,30,Tuesday,1,2018,P6
127,ES0022000005731860JV1P,2018-01-02,8:00,51,7,45,Tuesday,1,2018,P6
128,ES0022000005731860JV1P,2018-01-02,8:15,48,8,0,Tuesday,1,2018,P2
129,ES0022000005731860JV1P,2018-01-02,8:30,45,8,15,Tuesday,1,2018,P2
130,ES0022000005731860JV1P,2018-01-02,8:45,46,8,30,Tuesday,1,2018,P2
131,ES0022000005731860JV1P,2018-01-02,9:00,48,8,45,Tuesday,1,2018,P2
132,ES0022000005731860JV1P,2018-01-02,9:15,47,9,0,Tuesday,1,2018,P1
133,ES0022000005731860JV1P,2018-01-02,9:30,46,9,15,Tuesday,1,2018,P1
134,ES0022000005731860JV1P,2018-01-02,9:45,46,9,30,Tuesday,1,2018,P1
135,ES0022000005731860JV1P,2018-01-02,10:00,47,9,45,Tuesday,1,2018,P1
136,ES0022000005731860JV1P,2018-01-02,10:15,46,10,0,Tuesday,1,2018,P1
137,ES0022000005731860JV1P,2018-01-02,10:30,44,10,15,Tuesday,1,2018,P1
138,ES0022000005731860JV1P,2018-01-02,10:45,47,10,30,Tuesday,1,2018,P1
139,ES0022000005731860JV1P,2018-01-02,11:00,46,10,45,Tuesday,1,2018,P1
140,ES0022000005731860JV1P,2018-01-02,11:15,42,11,0,Tuesday,1,2018,P1
141,ES0022000005731860JV1P,2018-01-02,11:30,42,11,15,Tuesday,1,2018,P1
142,ES0022000005731860JV1P,2018-01-02,11:45,41,11,30,Tuesday,1,2018,P1
143,ES0022000005731860JV1P,2018-01-02,12:00,41,11,45,Tuesday,1,2018,P1
144,ES0022000005731860JV1P,2018-01-02,12:15,44,12,0,Tuesday,1,2018,P1
145,ES0022000005731860JV1P,2018-01-02,12:30,43,12,15,Tuesday,1,2018,P1
146,ES0022000005731860JV1P,2018-01-02,12:45,43,12,30,Tuesday,1,2018,P1
147,ES0022000005731860JV1P,2018-01-02,13:00,44,12,45,Tuesday,1,2018,P1
148,ES0022000005731860JV1P,2018-01-02,13:15,43,13,0,Tuesday,1,2018,P1
149,ES0022000005731860JV1P,2018-01-02,13:30,44,13,15,Tuesday,1,2018,P1
150,ES0022000005731860JV1P,2018-01-02,13:45,42,13,30,Tuesday,1,2018,P1
151,ES0022000005731860JV1P,2018-01-02,14:00,42,13,45,Tuesday,1,2018,P1
152,ES0022000005731860JV1P,2018-01-02,14:15,42,14,0,Tuesday,1,2018,P2
153,ES0022000005731860JV1P,2018-01-02,14:30,41,14,15,Tuesday,1,2018,P2
154,ES0022000005731860JV1P,2018-01-02,14:45,39,14,30,Tuesday,1,2018,P2
155,ES0022000005731860JV1P,2018-01-02,15:00,37,14,45,Tuesday,1,2018,P2
156,ES0022000005731860JV1P,2018-01-02,15:15,34,15,0,Tuesday,1,2018,P2
157,ES0022000005731860JV1P,2018-01-02,15:30,32,15,15,Tuesday,1,2018,P2
158,ES0022000005731860JV1P,2018-01-02,15:45,27,15,30,Tuesday,1,2018,P2
159,ES0022000005731860JV1P,2018-01-02,16:00,24,15,45,Tuesday,1,2018,P2
160,ES0022000005731860JV1P,2018-01-02,16:15,21,16,0,Tuesday,1,2018,P2
161,ES0022000005731860JV1P,2018-01-02,16:30,16,16,15,Tuesday,1,2018,P2
162,ES0022000005731860JV1P,2018-01-02,16:45,15,16,30,Tuesday,1,2018,P2
163,ES0022000005731860JV1P,2018-01-02,17:00,16,16,45,Tuesday,1,2018,P2
164,ES0022000005731860JV1P,2018-01-02,17:15,15,17,0,Tuesday,1,2018,P2
165,ES0022000005731860JV1P,2018-01-02,17:30,14,17,15,Tuesday,1,2018,P2
166,ES0022000005731860JV1P,2018-01-02,17:45,15,17,30,Tuesday,1,2018,P2
167,ES0022000005731860JV1P,2018-01-02,18:00,14,17,45,Tuesday,1,2018,P2
168,ES0022000005731860JV1P,2018-01-02,18:15,15,18,0,Tuesday,1,2018,P1
169,ES0022000005731860JV1P,2018-01-02,18:30,15,18,15,Tuesday,1,2018,P1
170,ES0022000005731860JV1P,2018-01-02,18:45,14,18,30,Tuesday,1,2018,P1
171,ES0022000005731860JV1P,2018-01-02,19:00,15,18,45,Tuesday,1,2018,P1
172,ES0022000005731860JV1P,2018-01-02,19:15,14,19,0,Tuesday,1,2018,P1
173,ES0022000005731860JV1P,2018-01-02,19:30,15,19,15,Tuesday,1,2018,P1
174,ES0022000005731860JV1P,2018-01-02,19:45,15,19,30,Tuesday,1,2018,P1
175,ES0022000005731860JV1P,2018-01-02,20:00,14,19,45,Tuesday,1,2018,P1
176,ES0022000005731860JV1P,2018-01-02,20:15,14,20,0,Tuesday,1,2018,P1
177,ES0022000005731860JV1P,2018-01-02,20:30,14,20,15,Tuesday,1,2018,P1
178,ES0022000005731860JV1P,2018-01-02,20:45,13,20,30,Tuesday,1,2018,P1
179,ES0022000005731860JV1P,2018-01-02,21:00,12,20,45,Tuesday,1,2018,P1
180,ES0022000005731860JV1P,2018-01-02,21:15,12,21,0,Tuesday,1,2018,P1
181,ES0022000005731860JV1P,2018-01-02,21:30,10,21,15,Tuesday,1,2018,P1
182,ES0022000005731860JV1P,2018-01-02,21:45,9,21,30,Tuesday,1,2018,P1
183,ES0022000005731860JV1P,2018-01-02,22:00,8,21,45,Tuesday,1,2018,P1
184,ES0022000005731860JV1P,2018-01-02,22:15,9,22,0,Tuesday,1,2018,P2
185,ES0022000005731860JV1P,2018-01-02,22:30,8,22,15,Tuesday,1,2018,P2
186,ES0022000005731860JV1P,2018-01-02,22:45,8,22,30,Tuesday,1,2018,P2
187,ES0022000005731860JV1P,2018-01-02,23:00,8,22,45,Tuesday,1,2018,P2
188,ES0022000005731860JV1P,2018-01-02,23:15,7,23,0,Tuesday,1,2018,P2
189,ES0022000005731860JV1P,2018-01-02,23:30,7,23,15,Tuesday,1,2018,P2
190,ES0022000005731860JV1P,2018-01-02,23:45,7,23,30,Tuesday,1,2018,P2
191,ES0022000005731860JV1P,2018-01-02,0:00,7,23,45,Tuesday,1,2018,P2
192,ES0022000005731860JV1P,2018-01-03,0:15,7,0,0,Wednesday,1,2018,P6
193,ES0022000005731860JV1P,2018-01-03,0:30,7,0,15,Wednesday,1,2018,P6
194,ES0022000005731860JV1P,2018-01-03,0:45,8,0,30,Wednesday,1,2018,P6
195,ES0022000005731860JV1P,2018-01-03,1:00,7,0,45,Wednesday,1,2018,P6
196,ES0022000005731860JV1P,2018-01-03,1:15,7,1,0,Wednesday,1,2018,P6
197,ES0022000005731860JV1P,2018-01-03,1:30,7,1,15,Wednesday,1,2018,P6
198,ES0022000005731860JV1P,2018-01-03,1:45,7,1,30,Wednesday,1,2018,P6
199,ES0022000005731860JV1P,2018-01-03,2:00,7,1,45,Wednesday,1,2018,P6
200,ES0022000005731860JV1P,2018-01-03,2:15,7,2,0,Wednesday,1,2018,P6
201,ES0022000005731860JV1P,2018-01-03,2:30,7,2,15,Wednesday,1,2018,P6
202,ES0022000005731860JV1P,2018-01-03,2:45,7,2,30,Wednesday,1,2018,P6
203,ES0022000005731860JV1P,2018-01-03,3:00,7,2,45,Wednesday,1,2018,P6
204,ES0022000005731860JV1P,2018-01-03,3:15,7,3,0,Wednesday,1,2018,P6
205,ES0022000005731860JV1P,2018-01-03,3:30,7,3,15,Wednesday,1,2018,P6
206,ES0022000005731860JV1P,2018-01-03,3:45,7,3,30,Wednesday,1,2018,P6
207,ES0022000005731860JV1P,2018-01-03,4:00,7,3,45,Wednesday,1,2018,P6
208,ES0022000005731860JV1P,2018-01-03,4:15,8,4,0,Wednesday,1,2018,P6
209,ES0022000005731860JV1P,2018-01-03,4:30,7,4,15,Wednesday,1,2018,P6
210,ES0022000005731860JV1P,2018-01-03,4:45,7,4,30,Wednesday,1,2018,P6
211,ES0022000005731860JV1P,2018-01-03,5:00,7,4,45,Wednesday,1,2018,P6
212,ES0022000005731860JV1P,2018-01-03,5:15,8,5,0,Wednesday,1,2018,P6
213,ES0022000005731860JV1P,2018-01-03,5:30,8,5,15,Wednesday,1,2018,P6
214,ES0022000005731860JV1P,2018-01-03,5:45,8,5,30,Wednesday,1,2018,P6
215,ES0022000005731860JV1P,2018-01-03,6:00,8,5,45,Wednesday,1,2018,P6
216,ES0022000005731860JV1P,2018-01-03,6:15,21,6,0,Wednesday,1,2018,P6
217,ES0022000005731860JV1P,2018-01-03,6:30,32,6,15,Wednesday,1,2018,P6
218,ES0022000005731860JV1P,2018-01-03,6:45,30,6,30,Wednesday,1,2018,P6
219,ES0022000005731860JV1P,2018-01-03,7:00,30,6,45,Wednesday,1,2018,P6
220,ES0022000005731860JV1P,2018-01-03,7:15,30,7,0,Wednesday,1,2018,P6
221,ES0022000005731860JV1P,2018-01-03,7:30,32,7,15,Wednesday,1,2018,P6
222,ES0022000005731860JV1P,2018-01-03,7:45,41,7,30,Wednesday,1,2018,P6
223,ES0022000005731860JV1P,2018-01-03,8:00,41,7,45,Wednesday,1,2018,P6
224,ES0022000005731860JV1P,2018-01-03,8:15,42,8,0,Wednesday,1,2018,P2
225,ES0022000005731860JV1P,2018-01-03,8:30,42,8,15,Wednesday,1,2018,P2
226,ES0022000005731860JV1P,2018-01-03,8:45,41,8,30,Wednesday,1,2018,P2
227,ES0022000005731860JV1P,2018-01-03,9:00,44,8,45,Wednesday,1,2018,P2
228,ES0022000005731860JV1P,2018-01-03,9:15,45,9,0,Wednesday,1,2018,P1
229,ES0022000005731860JV1P,2018-01-03,9:30,43,9,15,Wednesday,1,2018,P1
230,ES0022000005731860JV1P,2018-01-03,9:45,44,9,30,Wednesday,1,2018,P1
231,ES0022000005731860JV1P,2018-01-03,10:00,45,9,45,Wednesday,1,2018,P1
232,ES0022000005731860JV1P,2018-01-03,10:15,42,10,0,Wednesday,1,2018,P1
233,ES0022000005731860JV1P,2018-01-03,10:30,42,10,15,Wednesday,1,2018,P1
234,ES0022000005731860JV1P,2018-01-03,10:45,42,10,30,Wednesday,1,2018,P1
235,ES0022000005731860JV1P,2018-01-03,11:00,42,10,45,Wednesday,1,2018,P1
236,ES0022000005731860JV1P,2018-01-03,11:15,41,11,0,Wednesday,1,2018,P1
237,ES0022000005731860JV1P,2018-01-03,11:30,38,11,15,Wednesday,1,2018,P1
238,ES0022000005731860JV1P,2018-01-03,11:45,37,11,30,Wednesday,1,2018,P1
239,ES0022000005731860JV1P,2018-01-03,12:00,36,11,45,Wednesday,1,2018,P1
240,ES0022000005731860JV1P,2018-01-03,12:15,35,12,0,Wednesday,1,2018,P1
241,ES0022000005731860JV1P,2018-01-03,12:30,33,12,15,Wednesday,1,2018,P1
242,ES0022000005731860JV1P,2018-01-03,12:45,28,12,30,Wednesday,1,2018,P1
243,ES0022000005731860JV1P,2018-01-03,13:00,32,12,45,Wednesday,1,2018,P1
244,ES0022000005731860JV1P,2018-01-03,13:15,30,13,0,Wednesday,1,2018,P1
245,ES0022000005731860JV1P,2018-01-03,13:30,30,13,15,Wednesday,1,2018,P1
246,ES0022000005731860JV1P,2018-01-03,13:45,31,13,30,Wednesday,1,2018,P1
247,ES0022000005731860JV1P,2018-01-03,14:00,29,13,45,Wednesday,1,2018,P1
248,ES0022000005731860JV1P,2018-01-03,14:15,27,14,0,Wednesday,1,2018,P2
249,ES0022000005731860JV1P,2018-01-03,14:30,27,14,15,Wednesday,1,2018,P2
250,ES0022000005731860JV1P,2018-01-03,14:45,25,14,30,Wednesday,1,2018,P2
251,ES0022000005731860JV1P,2018-01-03,15:00,26,14,45,Wednesday,1,2018,P2
252,ES0022000005731860JV1P,2018-01-03,15:15,26,15,0,Wednesday,1,2018,P2
253,ES0022000005731860JV1P,2018-01-03,15:30,25,15,15,Wednesday,1,2018,P2
254,ES0022000005731860JV1P,2018-01-03,15:45,21,15,30,Wednesday,1,2018,P2
255,ES0022000005731860JV1P,2018-01-03,16:00,21,15,45,Wednesday,1,2018,P2
256,ES0022000005731860JV1P,2018-01-03,16:15,21,16,0,Wednesday,1,2018,P2
257,ES0022000005731860JV1P,2018-01-03,16:30,20,16,15,Wednesday,1,2018,P2
258,ES0022000005731860JV1P,2018-01-03,16:45,21,16,30,Wednesday,1,2018,P2
259,ES0022000005731860JV1P,2018-01-03,17:00,20,16,45,Wednesday,1,2018,P2
260,ES0022000005731860JV1P,2018-01-03,17:15,19,17,0,Wednesday,1,2018,P2
261,ES0022000005731860JV1P,2018-01-03,17:30,20,17,15,Wednesday,1,2018,P2
262,ES0022000005731860JV1P,2018-01-03,17:45,20,17,30,Wednesday,1,2018,P2
263,ES0022000005731860JV1P,2018-01-03,18:00,20,17,45,Wednesday,1,2018,P2
264,ES0022000005731860JV1P,2018-01-03,18:15,20,18,0,Wednesday,1,2018,P1
265,ES0022000005731860JV1P,2018-01-03,18:30,21,18,15,Wednesday,1,2018,P1
266,ES0022000005731860JV1P,2018-01-03,18:45,21,18,30,Wednesday,1,2018,P1
267,ES0022000005731860JV1P,2018-01-03,19:00,21,18,45,Wednesday,1,2018,P1
268,ES0022000005731860JV1P,2018-01-03,19:15,21,19,0,Wednesday,1,2018,P1
269,ES0022000005731860JV1P,2018-01-03,19:30,21,19,15,Wednesday,1,2018,P1
270,ES0022000005731860JV1P,2018-01-03,19:45,21,19,30,Wednesday,1,2018,P1
271,ES0022000005731860JV1P,2018-01-03,20:00,19,19,45,Wednesday,1,2018,P1
272,ES0022000005731860JV1P,2018-01-03,20:15,14,20,0,Wednesday,1,2018,P1
273,ES0022000005731860JV1P,2018-01-03,20:30,12,20,15,Wednesday,1,2018,P1
274,ES0022000005731860JV1P,2018-01-03,20:45,11,20,30,Wednesday,1,2018,P1
275,ES0022000005731860JV1P,2018-01-03,21:00,11,20,45,Wednesday,1,2018,P1
276,ES0022000005731860JV1P,2018-01-03,21:15,9,21,0,Wednesday,1,2018,P1
277,ES0022000005731860JV1P,2018-01-03,21:30,9,21,15,Wednesday,1,2018,P1
278,ES0022000005731860JV1P,2018-01-03,21:45,9,21,30,Wednesday,1,2018,P1
279,ES0022000005731860JV1P,2018-01-03,22:00,9,21,45,Wednesday,1,2018,P1
280,ES0022000005731860JV1P,2018-01-03,22:15,8,22,0,Wednesday,1,2018,P2
281,ES0022000005731860JV1P,2018-01-03,22:30,8,22,15,Wednesday,1,2018,P2
282,ES0022000005731860JV1P,2018-01-03,22:45,8,22,30,Wednesday,1,2018,P2
283,ES0022000005731860JV1P,2018-01-03,23:00,9,22,45,Wednesday,1,2018,P2
284,ES0022000005731860JV1P,2018-01-03,23:15,7,23,0,Wednesday,1,2018,P2
285,ES0022000005731860JV1P,2018-01-03,23:30,7,23,15,Wednesday,1,2018,P2
286,ES0022000005731860JV1P,2018-01-03,23:45,7,23,30,Wednesday,1,2018,P2
287,ES0022000005731860JV1P,2018-01-03,0:00,7,23,45,Wednesday,1,2018,P2
288,ES0022000005731860JV1P,2018-01-04,0:15,8,0,0,Thursday,1,2018,P6
289,ES0022000005731860JV1P,2018-01-04,0:30,7,0,15,Thursday,1,2018,P6
290,ES0022000005731860JV1P,2018-01-04,0:45,7,0,30,Thursday,1,2018,P6
291,ES0022000005731860JV1P,2018-01-04,1:00,7,0,45,Thursday,1,2018,P6
292,ES0022000005731860JV1P,2018-01-04,1:15,8,1,0,Thursday,1,2018,P6
293,ES0022000005731860JV1P,2018-01-04,1:30,7,1,15,Thursday,1,2018,P6
294,ES0022000005731860JV1P,2018-01-04,1:45,7,1,30,Thursday,1,2018,P6
295,ES0022000005731860JV1P,2018-01-04,2:00,7,1,45,Thursday,1,2018,P6
296,ES0022000005731860JV1P,2018-01-04,2:15,7,2,0,Thursday,1,2018,P6
297,ES0022000005731860JV1P,2018-01-04,2:30,8,2,15,Thursday,1,2018,P6
298,ES0022000005731860JV1P,2018-01-04,2:45,7,2,30,Thursday,1,2018,P6
299,ES0022000005731860JV1P,2018-01-04,3:00,7,2,45,Thursday,1,2018,P6
300,ES0022000005731860JV1P,2018-01-04,3:15,7,3,0,Thursday,1,2018,P6
301,ES0022000005731860JV1P,2018-01-04,3:30,8,3,15,Thursday,1,2018,P6
302,ES0022000005731860JV1P,2018-01-04,3:45,7,3,30,Thursday,1,2018,P6
303,ES0022000005731860JV1P,2018-01-04,4:00,7,3,45,Thursday,1,2018,P6
304,ES0022000005731860JV1P,2018-01-04,4:15,7,4,0,Thursday,1,2018,P6
