Cups                                     ;Fecha de la lectura;Hora de la lectura;Consumo (kwh);;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;18:00;21;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;18:15;23;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;18:30;22;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;18:45;23;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;19:00;24;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;19:15;22;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;19:30;25;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;19:45;23;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;20:00;22;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;20:15;8;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;20:30;9;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;20:45;8;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;21:00;9;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;21:15;8;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;21:30;8;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;21:45;9;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;22:00;8;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;22:15;8;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;22:30;8;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;22:45;8;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;23:00;8;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;23:15;8;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;23:30;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;23:45;7;;;;;;;;;;;
ES0022000005731860JV1P;01/01/2018;0:00;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;0:15;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;0:30;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;0:45;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;1:00;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;1:15;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;1:30;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;1:45;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;2:00;8;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;2:15;6;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;2:30;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;2:45;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;3:00;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;3:15;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;3:30;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;3:45;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;4:00;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;4:15;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;4:30;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;4:45;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;5:00;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;5:15;8;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;5:30;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;5:45;8;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;6:00;8;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;6:15;11;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;6:30;20;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;6:45;29;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;7:00;32;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;7:15;32;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;7:30;31;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;7:45;48;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;8:00;51;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;8:15;48;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;8:30;45;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;8:45;46;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;9:00;48;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;9:15;47;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;9:30;46;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;9:45;46;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;10:00;47;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;10:15;46;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;10:30;44;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;10:45;47;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;11:00;46;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;11:15;42;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;11:30;42;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;11:45;41;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;12:00;41;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;12:15;44;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;12:30;43;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;12:45;43;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;13:00;44;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;13:15;43;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;13:30;44;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;13:45;42;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;14:00;42;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;14:15;42;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;14:30;41;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;14:45;39;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;15:00;37;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;15:15;34;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;15:30;32;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;15:45;27;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;16:00;24;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;16:15;21;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;16:30;16;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;16:45;15;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;17:00;16;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;17:15;15;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;17:30;14;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;17:45;15;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;18:00;14;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;18:15;15;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;18:30;15;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;18:45;14;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;19:00;15;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;19:15;14;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;19:30;15;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;19:45;15;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;20:00;14;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;20:15;14;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;20:30;14;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;20:45;13;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;21:00;12;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;21:15;12;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;21:30;10;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;21:45;9;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;22:00;8;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;22:15;9;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;22:30;8;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;22:45;8;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;23:00;8;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;23:15;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;23:30;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;23:45;7;;;;;;;;;;;
ES0022000005731860JV1P;02/01/2018;0:00;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;0:15;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;0:30;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;0:45;8;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;1:00;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;1:15;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;1:30;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;1:45;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;2:00;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;2:15;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;2:30;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;2:45;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;3:00;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;3:15;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;3:30;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;3:45;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;4:00;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;4:15;8;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;4:30;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;4:45;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;5:00;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;5:15;8;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;5:30;8;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;5:45;8;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;6:00;8;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;6:15;21;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;6:30;32;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;6:45;30;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;7:00;30;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;7:15;30;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;7:30;32;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;7:45;41;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;8:00;41;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;8:15;42;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;8:30;42;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;8:45;41;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;9:00;44;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;9:15;45;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;9:30;43;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;9:45;44;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;10:00;45;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;10:15;42;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;10:30;42;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;10:45;42;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;11:00;42;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;11:15;41;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;11:30;38;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;11:45;37;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;12:00;36;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;12:15;35;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;12:30;33;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;12:45;28;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;13:00;32;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;13:15;30;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;13:30;30;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;13:45;31;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;14:00;29;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;14:15;27;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;14:30;27;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;14:45;25;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;15:00;26;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;15:15;26;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;15:30;25;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;15:45;21;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;16:00;21;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;16:15;21;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;16:30;20;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;16:45;21;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;17:00;20;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;17:15;19;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;17:30;20;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;17:45;20;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;18:00;20;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;18:15;20;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;18:30;21;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;18:45;21;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;19:00;21;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;19:15;21;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;19:30;21;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;19:45;21;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;20:00;19;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;20:15;14;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;20:30;12;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;20:45;11;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;21:00;11;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;21:15;9;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;21:30;9;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;21:45;9;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;22:00;9;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;22:15;8;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;22:30;8;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;22:45;8;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;23:00;9;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;23:15;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;23:30;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;23:45;7;;;;;;;;;;;
ES0022000005731860JV1P;03/01/2018;0:00;7;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;0:15;8;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;0:30;7;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;0:45;7;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;1:00;7;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;1:15;8;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;1:30;7;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;1:45;7;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;2:00;7;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;2:15;7;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;2:30;8;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;2:45;7;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;3:00;7;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;3:15;7;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;3:30;8;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;3:45;7;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;4:00;7;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;4:15;7;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;4:30;7;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;4:45;8;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;5:00;7;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;5:15;8;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;5:30;8;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;5:45;8;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;6:00;8;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;6:15;12;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;6:30;17;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;6:45;16;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;7:00;16;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;7:15;16;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;7:30;18;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;7:45;35;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;8:00;31;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;8:15;32;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;8:30;30;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;8:45;39;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;9:00;37;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;9:15;38;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;9:30;39;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;9:45;39;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;10:00;39;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;10:15;40;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;10:30;39;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;10:45;39;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;11:00;40;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;11:15;39;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;11:30;36;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;11:45;33;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;12:00;33;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;12:15;32;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;12:30;34;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;12:45;33;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;13:00;33;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;13:15;32;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;13:30;33;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;13:45;33;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;14:00;32;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;14:15;28;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;14:30;27;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;14:45;29;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;15:00;28;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;15:15;27;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;15:30;26;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;15:45;25;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;16:00;23;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;16:15;21;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;16:30;18;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;16:45;18;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;17:00;18;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;17:15;18;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;17:30;17;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;17:45;18;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;18:00;17;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;18:15;18;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;18:30;18;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;18:45;18;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;19:00;22;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;19:15;21;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;19:30;19;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;19:45;15;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;20:00;14;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;20:15;13;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;20:30;11;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;20:45;12;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;21:00;11;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;21:15;10;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;21:30;9;;;;;;;;;;;
ES0022000005731860JV1P;04/01/2018;21:45;9;;;;;;;;;;;
